 V3         V_out:Iss=5.00e-07        
-3.20000000e-02  5.82267366e-01 
-3.10000000e-02  5.88389583e-01 
-3.00000000e-02  5.94945651e-01 
-2.90000000e-02  6.01984076e-01 
-2.80000000e-02  6.09558154e-01 
-2.70000000e-02  6.17726269e-01 
-2.60000000e-02  6.26552273e-01 
-2.50000000e-02  6.36105984e-01 
-2.40000000e-02  6.46463775e-01 
-2.30000000e-02  6.57709232e-01 
-2.20000000e-02  6.69933775e-01 
-2.10000000e-02  6.83237171e-01 
-2.00000000e-02  6.97727793e-01 
-1.90000000e-02  7.13522517e-01 
-1.80000000e-02  7.30746113e-01 
-1.70000000e-02  7.49529998e-01 
-1.60000000e-02  7.70010234e-01 
-1.50000000e-02  7.92324686e-01 
-1.40000000e-02  8.16609334e-01 
-1.30000000e-02  8.42993804e-01 
-1.20000000e-02  8.71596377e-01 
-1.10000000e-02  9.02518806e-01 
-1.00000000e-02  9.35841461e-01 
-9.00000000e-03  9.71619314e-01 
-8.00000000e-03  1.00987928e+00 
-7.00000000e-03  1.05061924e+00 
-6.00000000e-03  1.09380893e+00 
-5.00000000e-03  1.13939243e+00 
-4.00000000e-03  1.18729201e+00 
-3.00000000e-03  1.23741282e+00 
-2.00000000e-03  1.28964785e+00 
-1.00000000e-03  1.34388261e+00 
 7.63278329e-17  1.39999938e+00 
 1.00000000e-03  1.45788056e+00 
 2.00000000e-03  1.51741105e+00 
 3.00000000e-03  1.57847969e+00 
 4.00000000e-03  1.64097970e+00 
 5.00000000e-03  1.70480823e+00 
 6.00000000e-03  1.76986505e+00 
 7.00000000e-03  1.83605048e+00 
 8.00000000e-03  1.90326270e+00 
 9.00000000e-03  1.97139455e+00 
 1.00000000e-02  2.04033003e+00 
 1.10000000e-02  2.10994080e+00 
 1.20000000e-02  2.18008319e+00 
 1.30000000e-02  2.25059609e+00 
 1.40000000e-02  2.32130026e+00 
 1.50000000e-02  2.39199966e+00 
 1.60000000e-02  2.46248493e+00 
 1.70000000e-02  2.53253902e+00 
 1.80000000e-02  2.60194460e+00 
 1.90000000e-02  2.67049241e+00 
 2.00000000e-02  2.73798953e+00 
 2.10000000e-02  2.80426660e+00 
 2.20000000e-02  2.86918312e+00 
 2.30000000e-02  2.93263041e+00 
 2.40000000e-02  2.99453220e+00 
 2.50000000e-02  3.05484315e+00 
 2.60000000e-02  3.11354586e+00 
 2.70000000e-02  3.17064696e+00 
 2.80000000e-02  3.22617272e+00 
 2.90000000e-02  3.28016483e+00 
 3.00000000e-02  3.33267641e+00 
 3.10000000e-02  3.38376859e+00 
 3.20000000e-02  3.43350757e+00 
 3.30000000e-02  3.48196233e+00 
 3.40000000e-02  3.52920280e+00 
 3.50000000e-02  3.57529846e+00 
 3.60000000e-02  3.62031736e+00 
 3.70000000e-02  3.66432544e+00 
 3.80000000e-02  3.70738599e+00 
 3.90000000e-02  3.74955946e+00 
 4.00000000e-02  3.79090323e+00 
 4.10000000e-02  3.83147161e+00 
 4.20000000e-02  3.87131589e+00 
 4.30000000e-02  3.91048436e+00 
 4.40000000e-02  3.94902246e+00 
 4.50000000e-02  3.98697291e+00 
 4.60000000e-02  4.02437586e+00 
 4.70000000e-02  4.06126904e+00 
 4.80000000e-02  4.09768790e+00 
 4.90000000e-02  4.13366577e+00 
 5.00000000e-02  4.16923403e+00 
 5.10000000e-02  4.20442221e+00 
 5.20000000e-02  4.23925814e+00 
 5.30000000e-02  4.27376806e+00 
 5.40000000e-02  4.30797676e+00 
 5.50000000e-02  4.34190767e+00 
 5.60000000e-02  4.37558296e+00 
 5.70000000e-02  4.40902364e+00 
 5.80000000e-02  4.44224963e+00 
 5.90000000e-02  4.47527987e+00 
 6.00000000e-02  4.50813236e+00 
 6.10000000e-02  4.54082425e+00 
 6.20000000e-02  4.57337187e+00 
 6.30000000e-02  4.60579085e+00 
 6.40000000e-02  4.63809609e+00 
 6.50000000e-02  4.67030189e+00 
 6.60000000e-02  4.70242193e+00 
 6.70000000e-02  4.73446936e+00 
 6.80000000e-02  4.76645678e+00 
 6.90000000e-02  4.79839636e+00 
 7.00000000e-02  4.83029978e+00 
 7.10000000e-02  4.86217833e+00 
 7.20000000e-02  4.89404292e+00 
 7.30000000e-02  4.92590407e+00 
 7.40000000e-02  4.95777197e+00 
 7.50000000e-02  4.98965651e+00 
