 V3         V_diff:Iss=5.00e-07       
 1.10000000e-02 -2.94072772e-01 
 1.20000000e-02 -3.18062838e-01 
 1.30000000e-02 -3.41417662e-01 
 1.40000000e-02 -3.64114358e-01 
 1.50000000e-02 -3.86135428e-01 
 1.60000000e-02 -4.07468616e-01 
 1.70000000e-02 -4.28106564e-01 
 1.80000000e-02 -4.48046668e-01 
 1.90000000e-02 -4.67290571e-01 
 2.00000000e-02 -4.85843797e-01 
 2.10000000e-02 -5.03715436e-01 
 2.20000000e-02 -5.20917515e-01 
 2.30000000e-02 -5.37464804e-01 
 2.40000000e-02 -5.53374199e-01 
 2.50000000e-02 -5.68664475e-01 
 2.60000000e-02 -5.83355796e-01 
 2.70000000e-02 -5.97469497e-01 
 2.80000000e-02 -6.11027649e-01 
 2.90000000e-02 -6.24052865e-01 
 3.00000000e-02 -6.36568029e-01 
 3.10000000e-02 -6.48596075e-01 
 3.20000000e-02 -6.60159787e-01 
 3.30000000e-02 -6.71281678e-01 
 3.40000000e-02 -6.81983798e-01 
 3.50000000e-02 -6.92287694e-01 
 3.60000000e-02 -7.02214233e-01 
 3.70000000e-02 -7.11783588e-01 
 3.80000000e-02 -7.21015158e-01 
 3.90000000e-02 -7.29927538e-01 
 4.00000000e-02 -7.38538455e-01 
 4.10000000e-02 -7.46864794e-01 
 4.20000000e-02 -7.54922564e-01 
 4.30000000e-02 -7.62726900e-01 
 4.40000000e-02 -7.70292109e-01 
 4.50000000e-02 -7.77631633e-01 
 4.60000000e-02 -7.84758146e-01 
 4.70000000e-02 -7.91683504e-01 
 4.80000000e-02 -7.98418852e-01 
 4.90000000e-02 -8.04974603e-01 
 5.00000000e-02 -8.11360499e-01 
 5.10000000e-02 -8.17585665e-01 
 5.20000000e-02 -8.23658619e-01 
 5.30000000e-02 -8.29587316e-01 
 5.40000000e-02 -8.35379194e-01 
 5.50000000e-02 -8.41041208e-01 
 5.60000000e-02 -8.46579849e-01 
 5.70000000e-02 -8.52001196e-01 
 5.80000000e-02 -8.57310925e-01 
 5.90000000e-02 -8.62514355e-01 
 6.00000000e-02 -8.67616468e-01 
 6.10000000e-02 -8.72621928e-01 
 6.20000000e-02 -8.77535118e-01 
 6.30000000e-02 -8.82360138e-01 
 6.40000000e-02 -8.87100841e-01 
 6.50000000e-02 -8.91760858e-01 
 6.60000000e-02 -8.96343603e-01 
 6.70000000e-02 -9.00852282e-01 
 6.80000000e-02 -9.05289926e-01 
 6.90000000e-02 -9.09659386e-01 
 7.00000000e-02 -9.13963353e-01 
 7.10000000e-02 -9.18204376e-01 
 7.20000000e-02 -9.22384858e-01 
 7.30000000e-02 -9.26507076e-01 
 7.40000000e-02 -9.30573187e-01 
 7.50000000e-02 -9.34585233e-01 
 7.60000000e-02 -9.38545150e-01 
 7.70000000e-02 -9.42454780e-01 
 7.80000000e-02 -9.46315870e-01 
 7.90000000e-02 -9.50130079e-01 
 8.00000000e-02 -9.53898997e-01 
 8.10000000e-02 -9.57624116e-01 
 8.20000000e-02 -9.61306877e-01 
 8.30000000e-02 -9.64948647e-01 
 8.40000000e-02 -9.68550727e-01 
 8.50000000e-02 -9.72114366e-01 
 8.60000000e-02 -9.75640747e-01 
 8.70000000e-02 -9.79131018e-01 
 8.80000000e-02 -9.82586255e-01 
 8.90000000e-02 -9.86007504e-01 
 9.00000000e-02 -9.89395762e-01 
 9.10000000e-02 -9.92751982e-01 
 9.20000000e-02 -9.96077077e-01 
 9.30000000e-02 -9.99371933e-01 
 9.40000000e-02 -1.00263738e+00 
 9.50000000e-02 -1.00587425e+00 
 9.60000000e-02 -1.00908329e+00 
 9.70000000e-02 -1.01226527e+00 
 9.80000000e-02 -1.01542090e+00 
 9.90000000e-02 -1.01855088e+00 
 1.00000000e-01 -1.02165586e+00 
